"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.552852621E0,-4.951798320E-1,-1.643910408E-1,8.617792130E-1
1.557540277E0,-2.426330149E-1,-2.532000542E-1,7.865791321E-1
1.562227933E0,-1.127901077E-1,-2.609045506E-1,7.164382935E-1
1.566915589E0,-6.823217869E-2,-2.020630836E-1,7.038841248E-1
1.571603194E0,-1.143043041E-1,-1.483941078E-1,6.962928772E-1
1.576290850E0,-2.177342176E-1,-1.331710815E-1,5.791206360E-1
1.580978506E0,-3.831067085E-1,-1.561625004E-1,4.671678543E-1
1.585666162E0,-5.862116218E-1,-2.169570923E-1,3.412113190E-1
1.590353819E0,-8.220365644E-1,-2.768681049E-1,1.820497513E-1
1.595041423E0,-1.043133497E0,-3.451344967E-1,7.557201385E-2
1.599729079E0,-1.273971796E0,-3.833534718E-1,4.066658020E-2
1.604416735E0,-1.328930378E0,-4.823689461E-1,5.332374573E-2
1.609104392E0,-1.280360460E0,-5.276358128E-1,1.707420349E-1
1.613791996E0,-1.204744339E0,-5.579338074E-1,2.877922058E-1
1.618479652E0,-1.134964943E0,-6.213123798E-1,4.140882492E-1
1.623167308E0,-1.007983327E0,-5.892250538E-1,4.924173355E-1
1.627854964E0,-8.087269068E-1,-5.670542717E-1,4.894924164E-1
1.632542569E0,-5.130567551E-1,-5.259346962E-1,3.577079773E-1
1.637230225E0,-3.071800172E-1,-5.180592537E-1,1.784019470E-1
1.641917881E0,-1.289045811E-1,-4.903719425E-1,-2.938365936E-2
1.646605537E0,5.050820112E-2,-5.426776409E-1,-2.848491669E-1
1.651293142E0,1.307445765E-1,-5.407202244E-1,-5.355300903E-1
1.655980798E0,1.177710295E-2,-4.414327145E-1,-6.574811935E-1
1.660668402E0,-1.247072220E-1,-2.976927757E-1,-7.130575180E-1
1.665356110E0,-2.689669728E-1,-2.052178383E-1,-7.214965820E-1
1.670043714E0,-4.400901496E-1,-1.926834583E-1,-7.305898666E-1
1.674731371E0,-5.952453613E-1,-1.647260189E-1,-7.211151123E-1
1.679419027E0,-6.780835390E-1,-1.739630699E-1,-7.121086121E-1
1.684106683E0,-7.132758498E-1,-1.677923203E-1,-7.560157776E-1
1.688794339E0,-6.730008125E-1,-1.461403370E-1,-8.526716232E-1
1.693481944E0,-6.053184271E-1,-1.089608669E-1,-9.446916580E-1
1.698169600E0,-5.439116955E-1,-1.372792721E-1,-1.017809868E0
1.702857256E0,-3.647212088E-1,-6.858253479E-2,-1.124595642E0
1.707544912E0,-1.922048330E-1,-2.697610855E-2,-1.212548256E0
1.712232517E0,5.992591381E-2,-2.553939819E-3,-1.334358692E0
1.716920173E0,3.493107557E-1,7.638740540E-2,-1.380261421E0
1.721607829E0,5.907501578E-1,1.189799309E-1,-1.321884155E0
1.726295485E0,7.611790895E-1,1.585233212E-1,-1.197667122E0
1.730983089E0,9.090536237E-1,1.326708794E-1,-1.055445671E0
1.735670746E0,1.096801281E0,2.691626549E-2,-8.617439270E-1
1.740358402E0,1.152587771E0,-5.385875702E-2,-7.358961105E-1
